PM2.5,warning,O3,CH4
7.80787,1.0,8.49388,5.37235
7.54639,1.0,7.86057,8.62223
8.52536,1.0,8.82084,6.97864
10.58645,0.0,7.35595,11.20552
7.59832,0.0,9.0054,6.74332
9.37886,1.0,11.85995,6.85234
5.22014,1.0,10.51066,10.79754
10.05003,0.0,5.98866,8.24968
7.7286,0.0,7.19828,7.7177
9.68034,0.0,8.28173,10.76792
9.21992,0.0,8.0244,9.14128
6.89256,1.0,10.39924,7.07509
9.88297,1.0,7.58156,8.17344
8.33675,1.0,10.42105,8.51996
10.47152,0.0,6.56223,10.63162
7.12435,1.0,9.1792,4.79531
8.07975,0.0,5.86791,6.98587
6.95508,1.0,12.52903,9.96607
6.61121,0.0,9.1874,6.55314
7.53086,0.0,8.23384,6.54957
5.55553,1.0,9.681,5.10859
7.00968,1.0,9.08665,9.34288
7.25753,1.0,7.93796,8.66449
9.86575,1.0,7.92863,9.43346
8.02583,1.0,8.90499,9.31321
6.68807,0.0,9.58215,9.50892
6.80733,1.0,7.48469,10.57146
5.95374,1.0,9.07982,10.48947
8.27275,0.0,7.9537,5.264
8.28933,1.0,8.8757,6.22604
6.99871,1.0,9.21617,10.16312
5.82536,1.0,9.04263,5.14605
10.03097,0.0,8.32254,8.46799
8.74273,1.0,9.19178,8.31109
8.23902,1.0,8.58368,6.76009
7.91815,1.0,10.62341,7.98934
8.19372,1.0,10.01909,7.33813
6.63454,0.0,10.82458,4.20013
6.82573,0.0,6.14692,7.05186
6.57921,1.0,9.71008,9.15881
5.7009,1.0,8.02286,10.26235
8.73737,1.0,11.11093,8.36944
6.50488,1.0,8.28797,10.30737
10.59499,0.0,6.91628,9.56048
8.86939,1.0,8.91818,8.77636
7.03903,0.0,7.66144,8.5032
10.61261,0.0,5.60505,9.66994
9.17692,0.0,6.39204,10.35147
6.54636,0.0,10.37391,7.24529
4.40215,1.0,8.72613,12.56825
9.32665,1.0,8.24324,6.92451
8.48931,1.0,8.57156,9.4292
5.04933,1.0,11.174,7.65985
5.01862,0.0,8.75383,7.26874
9.8273,0.0,6.31675,6.71787
7.36427,1.0,9.01384,9.82917
8.87863,0.0,6.75201,8.99482
8.76559,1.0,9.42598,7.36237
5.23081,1.0,9.00902,11.93544
5.72378,1.0,10.71679,6.45057
11.75154,0.0,7.3244,10.53677
6.3374,0.0,10.34294,6.14495
10.09762,0.0,5.7826,10.4832
10.36462,1.0,11.81165,6.9449
10.83822,0.0,6.20661,10.63438
6.45119,1.0,10.60057,9.77941
9.53379,0.0,9.30306,6.23473
6.51503,1.0,10.05791,9.76758
8.6115,1.0,7.72502,6.87802
8.16296,1.0,9.80753,7.69794
4.60942,1.0,6.86553,10.98762
8.48694,0.0,6.17851,9.47015
7.67163,0.0,8.05889,6.35922
7.06742,1.0,9.74634,6.54194
8.22896,0.0,9.67912,6.87048
6.73656,0.0,9.11464,8.85832
7.24754,1.0,10.63071,9.90172
9.35855,0.0,6.03305,8.89216
9.5516,0.0,9.18577,9.389
7.59751,1.0,10.35873,8.0871
8.9371,0.0,6.01395,9.047
7.34971,1.0,10.61547,8.20901
8.58143,1.0,7.86535,7.64811
5.65526,1.0,6.35461,10.30686
9.05292,1.0,9.1582,8.68829
10.1585,0.0,6.41413,10.1757
9.45324,0.0,5.69014,10.43923
8.53063,1.0,9.38101,8.98379
7.54807,0.0,8.79867,7.43793
7.16067,1.0,9.18635,6.96373
9.05814,0.0,8.81095,9.80993
10.88706,0.0,7.39439,11.6737
6.42014,1.0,8.35841,7.69173
8.57114,1.0,9.63597,8.14945
5.80765,1.0,10.46183,7.73742
11.16303,0.0,6.70349,7.91443
7.73535,0.0,7.34009,8.60344
6.07586,1.0,7.065,9.63246
10.13175,0.0,7.19108,9.58008
8.22828,1.0,8.81535,7.71202
7.15382,1.0,9.40319,8.94033
10.04629,0.0,5.39425,9.87475
5.93409,1.0,8.47321,6.50084
7.60395,1.0,10.69528,7.96848
7.82117,1.0,9.17881,6.51492
8.59221,0.0,6.9216,8.12863
8.70745,0.0,5.08087,8.29139
8.28225,1.0,7.55382,7.54721
3.29645,0.0,10.10402,4.72622
7.91831,0.0,6.52629,9.83308
6.57016,1.0,8.69441,8.26824
11.24147,0.0,7.47643,9.79735
9.11758,0.0,8.43089,8.45007
9.87084,0.0,7.89477,8.4232
6.21791,1.0,10.14365,6.6379
8.11384,1.0,8.75939,9.49664
9.04184,0.0,6.32992,10.05874
9.45033,0.0,8.36817,11.0344
8.46636,1.0,11.19471,7.17082
11.18829,0.0,5.46845,9.67242
4.75829,1.0,10.85269,5.59742
10.24635,0.0,7.5982,8.47625
9.75888,0.0,7.06065,9.07386
7.06592,1.0,8.90083,10.03774
6.45906,1.0,9.60003,10.40261
11.01321,0.0,8.14243,9.90816
6.1825,1.0,10.42596,7.36161
7.23978,1.0,9.66596,7.5214
5.54596,1.0,9.49708,9.51622
7.5232,1.0,10.05806,8.2282
4.30438,0.0,11.57982,6.70165
7.98274,1.0,9.44382,7.35019
6.96923,1.0,10.45798,7.61384
6.36118,1.0,10.21327,5.55568
5.39128,1.0,10.58653,6.26053
7.23003,1.0,8.52946,6.0795
10.25135,0.0,9.20922,11.00276
5.13342,1.0,8.4329,3.66413
5.62256,1.0,11.84726,7.86907
4.98347,1.0,10.05294,5.72891
7.99131,0.0,7.5262,8.72317
7.549535452240068,1.0,7.14009,6.99061
6.37934,1.0,8.71687,9.49579
9.30335,0.0,8.63746,8.23621
7.37435,1.0,9.27467,5.73841
9.275,0.0,9.63539,10.15069
7.28646,1.0,11.80234,9.10302
5.98494,1.0,6.85669,10.71425
5.74774,1.0,5.73873,10.59393
6.7146,1.0,11.57949,9.27301
7.13022,1.0,6.94733,6.0776
5.78654,0.0,9.30374,7.07087
8.35222,0.0,9.23455,8.4011
7.4944,1.0,8.02106,7.59257
7.44657,1.0,8.88504,6.76866
9.77475,1.0,11.61449,6.77529
5.37094,1.0,10.36956,10.20855
9.12065,0.0,5.59523,9.829
6.48389,1.0,10.64842,9.54209
6.66609,1.0,11.45655,7.86096
4.96412,1.0,9.38543,10.63388
10.57523,0.0,7.47112,7.69839
5.00447,0.0,9.34994,8.19455
6.61018,1.0,8.45751,9.6475
5.12611,1.0,9.62854,11.12718
8.57772,0.0,7.33181,6.99169
7.41588,1.0,9.87771,7.6961
5.36598,1.0,7.6841,10.45047
6.90111,0.0,11.08155,7.84176
7.05832,0.0,8.73883,6.46544
3.40604,0.0,13.28719,6.81205
7.42255,0.0,9.32163,6.01036
7.75958,0.0,10.04064,6.95814
11.77609,0.0,5.6188,11.32326
6.11814,0.0,8.65119,7.55043
7.02915,0.0,10.79173,7.6486
5.99706,1.0,8.77642,9.73625
6.57591,1.0,10.41257,6.47187
8.0769,1.0,10.48433,7.6662
8.56649,1.0,9.56011,7.95394
6.85988,1.0,9.9275,8.46991
8.66077,0.0,6.41591,7.80925
8.27537,0.0,6.79406,6.23619
9.13311,1.0,8.25761,9.17088
7.13168,1.0,9.25564,7.54115
9.08371,0.0,5.50442,7.80078
4.40712,0.0,11.50631,7.2746
9.01395,0.0,6.70845,9.65295
9.58974,0.0,7.50782,10.26446
4.39481,0.0,11.98369,6.37369
11.06285,0.0,5.29797,10.09002
6.47643,1.0,10.57321,8.42893
8.32355,1.0,7.3373,9.47946
6.85091,1.0,8.22399,10.05262
7.51071,1.0,8.64341,6.01697
7.67002,1.0,9.53337,6.64777
7.5804,1.0,10.02102,8.24817
6.04287,1.0,9.45182,9.87758
7.03376,1.0,10.62881,8.81067
8.38453,0.0,8.02664,12.1168
9.28727,0.0,6.94629,6.73744
8.59842,0.0,6.94553,11.26096
7.54764,1.0,9.44592,9.99213
6.90422,1.0,7.80616,10.69751
7.1869,1.0,9.30821,9.40322
6.57334,0.0,8.59656,7.17196
7.10312,0.0,9.73776,7.32806
7.94519,1.0,9.37537,5.93428
10.90421,0.0,6.88286,10.7608
8.06825,1.0,9.09779,8.60106
5.09847,0.0,8.9038,7.96364
6.8681,1.0,9.37295,9.69549
7.26526,1.0,9.52398,8.10009
4.7693,1.0,9.09897,12.25481
10.59352,0.0,5.86641,6.94547
8.35238,1.0,7.57,8.0544
9.61848,1.0,8.99037,8.48236
5.88988,1.0,8.61921,6.95706
7.14442,1.0,10.06243,8.47172
9.76819,0.0,8.16099,8.05122
4.02535,1.0,10.41,3.2963
5.98203,1.0,10.26497,5.75347
7.549535452240068,1.0,9.89695,6.66647
8.23516,0.0,5.62688,7.81737
8.42003,0.0,7.75402,9.51695
11.61899,0.0,5.661,11.62202
8.0931,1.0,8.17461,7.49376
7.85458,1.0,9.20922,10.66102
6.71448,1.0,8.75437,9.45175
10.81085,0.0,7.15647,10.61905
9.99413,0.0,8.0224,8.09761
8.67598,1.0,9.088564283178359,8.33099
5.70621,1.0,11.45277,10.11269
9.45812,1.0,8.42821,8.43665
11.83742,0.0,5.25487,10.77658
7.09702,1.0,8.49259,8.28425
5.86178,0.0,11.49331,10.2034
7.95639,0.0,9.73768,7.26851
5.70127,1.0,9.36953,5.75346
10.2282,0.0,5.70037,11.30096
6.58363,1.0,8.13499,4.68019
7.4842,0.0,9.51538,5.92567
8.23628,1.0,9.71045,8.23257
8.87556,1.0,9.9907,7.65249
9.54374,0.0,8.16073,8.11271
8.79916,1.0,7.6445,5.61612
6.97666,1.0,9.66061,10.04142
7.00967,1.0,8.11716,7.47854
5.63018,0.0,10.30963,7.30983
8.92122,1.0,11.00573,7.83998
6.88444,1.0,8.79164,9.807
7.64752,1.0,7.24186,6.8748
6.97154,1.0,9.64161,5.42036
7.47434,1.0,9.52552,8.49424
8.86164,0.0,8.33724,7.39494
10.00836,0.0,7.39652,9.09179
10.77169,0.0,7.14597,9.64278
8.25031,1.0,9.91745,10.3453
6.781,1.0,11.21789,8.77636
8.02693,0.0,9.80512,8.05507
7.15907,1.0,10.54049,9.86547
5.68956,0.0,11.61431,6.51762
9.39265,0.0,4.74924,9.18363
6.15408,1.0,10.22935,6.62108
9.4315,1.0,8.78467,8.56568
4.40086,1.0,6.10572,11.59944
10.29031,0.0,8.29466,11.72986
9.95082,1.0,9.74293,8.0424
7.43992,1.0,9.4156,7.6125
8.56467,0.0,8.0108,5.23257
8.67013,0.0,8.71813,6.31
7.67547,1.0,8.47214,7.76353
6.15438,1.0,9.66089,9.94959
10.38947,0.0,4.77397,9.12415
7.80793,0.0,9.09023,8.33226
8.08961,1.0,9.51726,7.99058
7.45413,1.0,8.99797,7.98636
5.72677,1.0,10.17614,6.00292
9.6148,1.0,11.44354,8.83135
9.22422,0.0,6.20438,9.65954
9.98877,0.0,7.78882,8.59847
7.26709,1.0,8.37396,8.43723
9.22129,0.0,6.52722,9.16053
9.38304,0.0,5.27242,10.415
6.38761,0.0,9.61621,7.92412
6.5932,1.0,8.85677,5.71317
8.11238,1.0,7.57794,7.11143
5.46921,1.0,10.87605,8.34095
10.06066,0.0,7.96782,6.34684
7.47911,1.0,10.14166,8.24183
7.88794,1.0,8.9749,5.92569
8.53365,1.0,10.27104,8.78542
6.20628,0.0,10.92711,5.38053
6.3816,1.0,10.07941,7.02877
10.09028,0.0,6.67506,8.91076
9.22769,0.0,6.31147,7.08988
4.35476,1.0,9.15346,11.37565
9.27775,1.0,10.1318,8.24822
5.38291,1.0,10.57064,5.12173
7.04401,1.0,11.4211,9.03111
6.95604,1.0,9.57399,5.54002
5.75572,0.0,9.87666,6.95793
8.68563,0.0,7.79831,6.86888
5.65471,1.0,7.0843,11.30092
7.549535452240068,1.0,9.45522,6.41485
4.95488,0.0,10.8789,6.50246
7.0481,1.0,9.088564283178359,8.77607
6.48877,1.0,5.97922,9.78283
7.43582,1.0,9.088564283178359,6.73381
5.66494,1.0,9.2008,11.52503
7.49967,0.0,9.45745,7.44032
7.60536,0.0,8.90698,6.74272
6.49505,1.0,11.6716,10.36568
9.98982,0.0,5.5569,9.72813
9.28104,1.0,8.39408,6.9422
5.07701,1.0,9.13955,10.58718
6.04003,1.0,9.47747,9.9304
8.09455,1.0,10.07437,8.58451
4.67983,1.0,8.25848,12.22673
6.11635,1.0,9.98525,6.6322
6.22837,1.0,10.34922,6.49666
6.52499,1.0,10.75502,10.43392
8.56288,0.0,6.66992,8.0995
8.51997,0.0,8.68947,7.41726
8.14525,1.0,7.45634,9.09045
4.36688,1.0,11.91155,6.18596
6.63297,1.0,8.16955,4.53746
10.14686,1.0,9.80105,7.75854
9.48185,0.0,6.97943,11.02217
6.07723,1.0,7.77244,7.49957
8.6193,1.0,7.58959,6.98977
8.4255,0.0,7.92571,8.51979
7.79071,1.0,9.8292,8.80691
7.78632,1.0,9.33863,7.46182
6.14527,0.0,8.89238,6.72885
4.28473,0.0,10.55456,6.68556
7.99166,1.0,10.13866,7.76923
8.68696,0.0,7.5158,10.88842
7.63844,1.0,10.2517,9.41181
7.43373,0.0,9.49709,8.30313
8.06104,0.0,8.23594,9.27269
6.58987,1.0,9.4707,6.02237
9.81145,0.0,9.29318,11.04839
7.61975,1.0,12.04448,9.76294
8.492,0.0,8.74813,5.98657
7.91221,1.0,8.16106,7.34352
10.11273,1.0,7.93888,10.73297
6.51994,1.0,8.83981,9.12004
7.23957,1.0,9.36989,9.45753
5.15819,1.0,11.21734,6.61358
4.83636,1.0,10.0013,6.60838
7.2705,1.0,8.90385,7.88915
7.8456,1.0,10.30725,6.99018
5.95686,1.0,9.20427,7.40949
5.80408,1.0,10.89376,6.87478
5.10913,0.0,10.7619,7.49228
7.7793,1.0,10.8602,9.25402
7.87011,0.0,8.45333,7.37691
8.44919,0.0,8.6382,6.30922
7.76513,1.0,5.9853,9.33497
5.7345,1.0,8.71719,6.51715
9.08396,0.0,8.58719,7.69469
9.96756,0.0,7.23952,8.88078
7.86724,0.0,7.42932,6.59139
8.92368,0.0,5.98445,8.29796
8.54086,0.0,5.54739,7.61618
3.5281,1.0,7.06712,12.31983
8.22528,1.0,8.11898,8.45068
8.90423,1.0,8.42203,9.36526
7.90621,1.0,9.29611,7.58677
5.66529,0.0,9.43257,6.62938
6.23207,0.0,9.57571,7.98125
8.70012,1.0,9.48139,7.79625
6.33576,1.0,10.51055,7.11475
8.27079,1.0,10.41034,8.19898
4.41428,1.0,7.9271,10.00278
8.46767,0.0,8.34745,7.54564
7.36121,1.0,10.99696,8.95165
5.14842,0.0,9.9312,6.2808
6.59929,0.0,10.40135,7.42339
7.50102,1.0,9.85771,8.81953
7.61266,1.0,10.75879,7.67526
8.14583,0.0,9.3551,6.68322
9.47624,0.0,7.87537,9.4556
3.56781,0.0,11.75245,9.02693
9.44093,1.0,8.83644,8.8242
6.64217,0.0,9.7955,5.58696
5.57567,1.0,10.15707,5.35666
7.19822,1.0,10.07975,8.58465
8.66162,0.0,6.15513,8.64072
5.28669,1.0,10.59612,11.61559
8.43881,1.0,9.84913,8.60355
7.00622,0.0,5.68749,9.14343
9.37309,1.0,9.24977,7.79337
7.23416,1.0,8.93297,9.69755
7.12944,1.0,7.99199,9.49378
3.75819,0.0,10.99354,8.15731
7.52417,1.0,9.19925,7.75124
8.24003,0.0,4.74838,11.33878
6.68208,1.0,8.7516,6.21192
6.41988,1.0,8.55835,5.65197
9.33367,0.0,6.3211,11.1047
5.45411,1.0,10.59431,5.87017
9.45407,1.0,8.24063,7.93565
8.817,1.0,6.53938,6.87212
7.15552,0.0,8.29503,7.51476
9.05719,1.0,10.63763,8.47719
8.99097,0.0,9.71881,6.02719
10.68052,0.0,7.35094,10.54094
5.74885,1.0,9.64165,6.15989
7.6928,1.0,9.30243,8.60676
6.44239,1.0,10.23679,4.49102
8.49211,1.0,8.60261,7.75275
8.40221,0.0,8.33306,8.06935
9.60796,1.0,8.77104,8.79841
7.65987,0.0,10.32384,7.00029
6.69914,0.0,9.66775,7.48784
7.15235,1.0,10.6091,8.02562
4.81471,0.0,11.4882,7.01938
8.5349,0.0,7.49065,9.2931
8.34878,1.0,9.09764,10.21892
6.56457,1.0,7.90103,10.35267
8.06757,1.0,9.85511,8.75498
8.79027,0.0,7.31847,8.10179
6.35711,1.0,10.38285,9.57071
8.45358,0.0,6.4194,7.89713
5.72454,1.0,9.76977,5.57614
8.98795,1.0,9.76787,6.72372
8.38449,1.0,10.32591,7.59715
7.78444,0.0,6.22997,8.149
8.13121,1.0,11.36366,10.48165
8.66028,0.0,7.07815,9.66786
9.05797,1.0,6.98737,4.21079
6.65469,1.0,9.44706,5.06786
6.23687,1.0,10.3428,7.8119
7.43663,1.0,9.9229,6.78758
5.8718,0.0,11.03263,7.21714
8.43708,0.0,7.57168,7.67172
6.07271,1.0,10.42181,6.05553
7.01329,1.0,10.53252,9.034
7.58942,1.0,8.75229,7.79321
9.14227,1.0,8.56117,6.25704
8.24575,0.0,7.00543,9.06849
7.04986,0.0,9.26872,7.35611
7.32703,1.0,9.87729,10.02549
7.2489,0.0,11.30025,5.51081
6.61716,1.0,10.39937,9.22039
8.39931,1.0,10.75034,9.42557
8.5786,1.0,9.34827,6.76082
6.75987,1.0,8.39442,5.09222
11.50761,0.0,5.48465,10.77309
6.38238,1.0,9.17889,10.59723
5.95735,1.0,7.00947,11.3923
10.25244,0.0,6.42012,9.58993
5.97801,1.0,8.23563,10.6682
7.35944,0.0,9.55247,5.69433
8.49202,1.0,9.42406,7.74414
6.33635,1.0,10.12181,7.58594
6.73853,1.0,10.04408,6.53427
6.91286,1.0,10.52887,8.09021
6.66828,1.0,8.79586,5.51238
7.52346,1.0,8.02062,9.7843
4.81713,1.0,10.61105,10.52565
8.41916,1.0,8.32574,8.81373
7.00621,1.0,10.08564,10.11138
6.34933,0.0,9.62185,8.138
7.549535452240068,1.0,8.88916,7.77426
6.34505,1.0,9.44587,6.16305
8.80619,0.0,7.02091,9.94426
6.2603,1.0,9.09129,6.79394
6.58048,1.0,6.18649,9.96175
5.67743,0.0,10.70501,5.69262
8.38675,1.0,7.95373,6.52645
6.57967,1.0,11.5481,9.30251
6.21163,1.0,10.39269,6.55227
8.16981,0.0,6.37676,9.62075
8.67737,0.0,9.12149,9.91583
9.23805,1.0,10.52585,9.51985
7.2146,0.0,7.88233,5.48253
8.99125,0.0,5.04666,7.61821
7.39737,0.0,6.72975,10.73951
6.50381,1.0,9.76741,8.44634
6.90577,1.0,9.9353,7.16436
3.78157,0.0,10.73983,7.55747
7.2288,1.0,10.0944,7.82793
9.45218,0.0,7.55439,9.59014
8.32831,0.0,9.07748,6.44488
6.22396,1.0,10.43608,8.35
6.33838,1.0,9.99288,10.69613
7.94402,0.0,9.4854,8.53108
7.38391,1.0,8.93418,9.07672
4.60994,1.0,8.16117,12.68586
6.63335,1.0,8.04149,6.27586
8.01661,0.0,8.40788,6.61911
7.47149,1.0,7.62439,8.74547
8.78735,0.0,6.59063,9.50234
7.24317,1.0,8.93588,8.53049
5.53693,0.0,11.25109,5.0066
7.14173,1.0,9.30589,9.52144
8.64224,1.0,8.61084,8.1014
5.73693,1.0,7.41596,9.43617
5.56068,1.0,8.26212,10.41926
6.3066,1.0,9.19397,6.60947
4.6629,0.0,10.43115,5.40144
5.55793,0.0,9.74346,4.49704
5.33981,1.0,10.26793,6.133
6.5072,1.0,8.85809,5.87355
7.25174,1.0,9.81895,7.8428
5.96607,1.0,7.21797,10.08324
5.70264,0.0,11.55727,6.7019
6.91453,1.0,9.19942,6.94183
9.01761,1.0,9.25913,9.28054
5.87275,1.0,11.03979,7.21331
8.25838,1.0,8.3934,8.2115
10.238,0.0,7.1957,11.25739
6.8432,1.0,9.3648,9.36755
6.99396,1.0,7.68885,9.62213
9.45323,0.0,7.56422,8.6172
4.54252,0.0,9.4372,8.55033
10.30606,0.0,6.8674,8.38173
6.53032,0.0,10.01737,8.24054
6.64291,1.0,9.31346,5.14672
11.27177,0.0,7.50573,10.79311
11.02254,0.0,6.68918,12.87099
5.79803,1.0,9.83395,6.84796
7.21347,0.0,10.15062,7.74718
7.51349,0.0,8.97377,7.20085
7.40796,0.0,8.76224,5.76824
7.76342,1.0,11.36022,9.20025
6.40632,0.0,11.02632,7.61025
6.36855,1.0,9.50805,9.94881
8.41918,0.0,6.77594,8.29424
7.71922,1.0,10.98928,8.5078
10.10645,1.0,9.24582,7.8241
7.94071,1.0,6.83317,8.45935
5.33952,1.0,9.60524,8.28079
8.50481,1.0,11.01923,8.2095
8.77424,1.0,8.33938,8.312937315300085
6.15991,1.0,9.13499,6.73223
4.00977,0.0,11.33159,6.52064
5.77141,1.0,9.26289,6.88027
5.58063,1.0,9.65096,6.93115
5.16207,1.0,10.42371,10.37086
4.73938,1.0,11.08613,6.29901
8.55127,1.0,9.45573,9.06853
8.11561,1.0,7.44247,7.52191
8.42017,0.0,7.81241,6.25749
5.52502,1.0,8.97228,5.02198
6.96408,0.0,10.31844,6.38126
9.49733,0.0,7.99721,8.25109
8.31613,1.0,10.98371,9.0639
6.37055,0.0,10.07334,7.3637
5.16218,1.0,7.60637,11.36791
3.81328,0.0,11.47473,5.34929
8.14462,1.0,9.8184,8.23057
8.18304,1.0,10.60931,8.69785
7.26827,0.0,9.48348,5.05099
7.76737,1.0,10.44859,8.53517
8.20422,0.0,8.78091,7.90127
5.59442,1.0,9.85056,7.44307
7.698,0.0,10.31188,9.17264
10.53729,0.0,6.70569,11.21615
5.93671,1.0,10.70286,7.59558
9.63052,0.0,5.85893,9.49223
6.73494,1.0,8.79759,10.01218
7.92413,1.0,9.71095,8.60788
6.93389,1.0,11.26602,8.19289
7.02321,0.0,9.91814,7.43889
7.30032,1.0,9.54257,7.32634
6.69284,1.0,8.81869,10.08945
9.14652,0.0,7.79728,8.31372
6.52267,1.0,8.76452,5.42595
7.70296,1.0,8.45914,9.05809
4.99896,1.0,9.5146,12.36431
7.27999,0.0,8.05993,9.63536
8.7152,0.0,5.81692,7.59968
5.30288,1.0,10.51314,5.55062
9.0674,0.0,6.12135,10.00938
5.44787,1.0,7.99772,10.83338
5.49612,0.0,9.3029,10.02413
6.68577,1.0,9.088564283178359,5.64933
6.23047,0.0,8.97237,6.6111
7.90587,1.0,9.43057,9.38133
7.36007,0.0,7.97971,7.39458
7.33987,1.0,9.58529,8.93523
5.41914,1.0,10.56168,11.72798
7.40599,0.0,9.43545,10.14783
5.46146,0.0,9.84435,5.48999
8.06679,1.0,7.69537,7.9676
8.53554,1.0,7.37261,8.57431
5.77292,1.0,10.63745,5.63972
8.56792,0.0,6.54198,9.68783
6.34843,1.0,8.24277,5.16418
8.53347,0.0,5.48917,10.35293
7.42353,1.0,10.5362,8.67508
5.92837,1.0,9.44651,11.96284
5.03907,1.0,8.09901,9.96071
7.90092,0.0,8.09537,7.50395
6.76886,1.0,9.9442,7.01817
7.36531,1.0,10.60026,8.08074
4.5562,1.0,7.29965,11.78561
8.51396,0.0,6.18347,11.70605
9.3457,0.0,6.31639,10.69864
6.34719,1.0,10.14088,8.0331
9.32637,0.0,8.98607,7.16111
7.5291,0.0,8.34708,7.51933
8.43219,1.0,10.92232,7.63043
10.01326,0.0,7.77651,11.9263
7.3479,1.0,10.90276,9.8949
5.71972,1.0,7.97252,10.98706
6.74064,0.0,9.66061,7.10294
7.69718,1.0,9.96638,8.22328
7.05665,1.0,9.91606,6.7021
9.19424,0.0,6.59791,8.89013
7.55123,1.0,10.01059,9.39044
10.0226,0.0,7.91034,10.87212
4.92561,0.0,11.96011,7.05163
7.72559,0.0,8.40506,7.47167
7.07446,1.0,9.19095,8.56934
7.69256,1.0,10.13592,10.24127
8.43562,1.0,8.50611,8.0676
7.57251,1.0,11.05065,7.4751
6.74332,1.0,8.94076,10.93321
9.13238,0.0,6.96328,7.976
6.81302,1.0,7.85278,9.25315
6.03081,0.0,10.38442,6.14479
7.68224,1.0,8.30865,4.81794
8.33452,0.0,8.72559,8.12365
5.60579,0.0,9.47813,7.43383
7.74943,1.0,8.79786,10.36763
6.91976,1.0,9.55095,9.72362
7.83693,0.0,9.28631,8.20999
6.66464,1.0,9.44528,6.1701
9.65511,0.0,6.28415,9.80956
7.37003,1.0,9.09738,9.28188
8.28853,0.0,9.08058,6.73563
8.43684,0.0,7.65428,8.38983
8.46318,0.0,7.48381,10.51019
9.44288,1.0,8.05502,7.52001
7.44435,1.0,8.77844,9.92122
6.93864,0.0,9.01479,7.97352
6.19411,1.0,10.14651,5.03696
8.62336,0.0,7.01074,8.97486
6.83565,0.0,10.41988,7.76121
4.46232,0.0,10.50834,6.96712
7.27268,1.0,9.52991,9.27302
7.24216,0.0,9.47386,7.46869
6.36936,1.0,8.34191,8.89532
8.16411,1.0,8.97679,9.81437
8.49868,1.0,10.46453,7.32668
9.38372,0.0,6.96623,10.11201
10.48545,0.0,8.39603,10.51431
10.74012,0.0,7.66166,7.36921
7.08071,1.0,10.38202,9.16032
7.33406,1.0,9.43156,6.25159
7.99942,0.0,8.6217,8.3341
7.49474,0.0,9.79183,7.58001
7.54632,1.0,9.76979,8.86741
6.38765,1.0,9.48295,9.59658
7.05016,1.0,12.46649,8.8359
5.30392,1.0,8.67609,11.37386
10.00841,0.0,7.50859,8.53916
8.25258,1.0,10.25812,8.29745
8.02206,1.0,8.80512,9.50135
3.77308,0.0,11.91667,8.48962
8.09551,1.0,9.42493,8.19947
7.98324,0.0,8.82159,8.16556
8.67234,0.0,9.28114,9.71542
8.41285,0.0,9.088564283178359,7.73648
